Date,ROI,Total Value,Total Investment
6/4/21 11:08,-5.66,3790.0,4017.37
6/4/21 13:02,-6.04,3774.87,4017.37
06-04-2021 13:28,-5.53,3795.25,4017.37
06-04-2021 14:40,-5.17,3809.8,4017.37
06-04-2021 15:40,-5.01,3816.09,4017.37
06-04-2021 16:17,-7.29,3724.31,4017.37
06-04-2021 16:47,-5.83,3783.18,4017.37
06-04-2021 16:58,-6.45,3758.45,4017.37
06-04-2021 20:29,-3.05,3894.99,4017.37
06-05-2021 10:02,-8.16,3689.53,4017.37
06-05-2021 11:02,-8.47,3677.29,4017.37
06-05-2021 12:02,-8.28,3684.65,4017.37
06-05-2021 13:02,-8.88,3660.53,4017.37
06-05-2021 14:02,-8.76,3665.54,4017.37
06-05-2021 15:02,-11.03,3574.2,4017.37
06-05-2021 16:03,-10.36,3600.97,4017.37
06-05-2021 21:40,-7.42,3719.22,4017.37
06-05-2021 21:41,-7.47,3717.27,4017.37
06-06-2021 09:00,-6.41,3759.9,4017.37
06-06-2021 10:00,-5.92,3779.63,4017.37
06-06-2021 11:01,-6.9,3740.3,4017.37
06-06-2021 12:01,-7.39,3720.64,4017.37
06-06-2021 13:01,-8.04,3694.53,4017.37
06-06-2021 14:01,-6.93,3739.13,4017.37
06-06-2021 15:01,-6.87,3741.31,4017.37
06-06-2021 16:02,-7.85,3701.99,4017.37
06-06-2021 17:02,-6.86,3741.62,4017.37
06-06-2021 21:20,-5.17,3809.49,4017.37
06-06-2021 21:26,-5.5,3796.54,4017.37
06-07-2021 08:09,-5.67,3789.78,4017.37
06-07-2021 09:09,-5.64,3790.9,4017.37
06-07-2021 10:10,-7.31,3723.9,4017.37
06-07-2021 11:10,-7.28,3724.96,4017.37
06-07-2021 12:10,-7.78,3704.95,4017.37
06-07-2021 13:10,-7.61,3711.51,4017.37
06-07-2021 14:40,-12.42,3518.44,4017.37
06-07-2021 15:29,-12.21,3526.72,4017.37
06-07-2021 16:31,-13.64,3469.31,4017.37
06-07-2021 20:06,-17.66,3307.94,4017.37
06-07-2021 21:19,-14.65,3855.65,4517.37
06-08-2021 08:21,-20.67,3583.77,4517.37
06-08-2021 09:00,-18.22,3694.43,4517.37
06-08-2021 10:00,-16.93,3752.74,4517.37
06-08-2021 11:00,-16.27,3782.26,4517.37
06-08-2021 12:00,-14.15,3878.14,4517.37
06-08-2021 13:00,-13.52,3906.45,4517.37
06-08-2021 14:00,-12.08,3971.85,4517.37
06-08-2021 15:00,-12.62,3947.3,4517.37
06-08-2021 16:01,-12.67,3945.17,4517.37
06-08-2021 17:01,-12.71,3943.35,4517.37
06-09-2021 08:00,-13.22,3920.01,4517.37
06-09-2021 09:00,-9.46,4089.98,4517.37
06-09-2021 10:00,-9.15,4104.19,4517.37
06-09-2021 11:01,-9.41,4092.51,4517.37
06-09-2021 12:01,-10.68,4035.12,4517.37
06-09-2021 13:01,-10.47,4044.45,4517.37
06-09-2021 14:01,-10.36,4049.45,4517.37
06-09-2021 15:01,-9.91,4069.72,4517.37
06-09-2021 16:01,-8.94,4113.32,4517.37
06-09-2021 17:01,-8.24,4145.03,4517.37
06-09-2021 18:01,-9.17,4102.99,4517.37
06-10-2021 09:00,-11.53,3996.63,4517.37
06-10-2021 10:00,-11.98,3976.39,4517.37
06-10-2021 11:00,-12.45,3955.13,4517.37
06-10-2021 12:00,-11.98,3976.13,4517.37
06-10-2021 13:00,-12.55,3950.56,4517.37
06-10-2021 14:00,-12.42,3956.53,4517.37
06-10-2021 15:01,-12.31,3961.14,4517.37
06-10-2021 16:01,-11.86,3981.73,4517.37
06-10-2021 17:01,-12.48,3953.48,4517.37
06-10-2021 18:01,-13.66,3900.41,4517.37
06-11-2021 08:51,-14.11,3880.18,4517.37
06-11-2021 09:51,-15.19,3831.09,4517.37
06-11-2021 10:52,-14.8,3848.93,4517.37
06-11-2021 11:52,-15.1,3835.45,4517.37
06-11-2021 12:52,-15.14,3833.36,4517.37
06-11-2021 13:52,-15.38,3822.48,4517.37
06-11-2021 14:52,-16.72,3762.28,4517.37
06-11-2021 15:52,-16.23,3784.26,4517.37
06-11-2021 16:52,-16.59,3768.12,4517.37
06-11-2021 17:52,-16.95,3751.56,4517.37
06-12-2021 09:00,-17.44,3729.76,4517.37
06-12-2021 10:00,-17.21,3739.86,4517.37
06-12-2021 11:00,-16.54,3770.0,4517.37
06-12-2021 12:00,-16.07,3791.27,4517.37
06-12-2021 13:00,-16.63,3765.96,4517.37
06-12-2021 14:00,-16.47,3773.39,4517.37
06-12-2021 15:00,-16.2,3785.5,4517.37
06-12-2021 16:01,-16.52,3771.18,4517.37
06-12-2021 17:01,-17.04,3747.7,4517.37
06-12-2021 18:01,-16.38,3777.47,4517.37
06-13-2021 09:06,-18.19,3695.75,4517.37
06-13-2021 10:06,-16.32,3780.0,4517.37
06-13-2021 11:06,-14.76,3850.62,4517.37
06-13-2021 12:06,-14.17,3877.15,4517.37
06-13-2021 13:06,-13.42,3911.08,4517.37
06-13-2021 14:07,-11.11,4015.4,4517.37
06-13-2021 15:07,-11.02,4019.53,4517.37
06-13-2021 16:07,-11.94,3978.17,4517.37
06-13-2021 17:07,-11.62,3992.64,4517.37
06-14-2021 08:01,-9.42,4091.64,4517.37
06-14-2021 09:01,-8.5,4133.2,4517.37
06-14-2021 10:01,-8.75,4121.95,4517.37
06-14-2021 11:01,-8.39,4138.36,4517.37
06-14-2021 12:01,-9.79,4074.94,4517.37
06-14-2021 13:02,-9.78,4075.37,4517.37
06-14-2021 14:02,-9.59,4084.25,4517.37
06-14-2021 15:02,-8.91,4114.94,4517.37
06-14-2021 16:02,-9.23,4100.39,4517.37
06-14-2021 17:02,-7.91,4160.24,4517.37
06-14-2021 18:02,-8.03,4154.68,4517.37
06-14-2021 23:04,-7.16,4270.83,4600.01
06-14-2021 23:58,-7.19,4269.1,4600.01
06-15-2021 08:30,-8.64,4567.95,5000.01
06-15-2021 09:30,-8.33,4583.65,5000.01
06-15-2021 10:30,-8.14,4593.02,5000.01
06-15-2021 11:30,-6.55,4672.28,5000.01
06-15-2021 12:30,-8.2,4590.12,5000.01
06-15-2021 13:30,-8.7,4565.05,5000.01
06-15-2021 14:30,-8.66,4567.14,5000.01
06-15-2021 15:31,-8.31,4584.43,5000.01
06-15-2021 16:31,-8.07,4596.26,5000.01
06-15-2021 17:31,-9.24,4537.81,5000.01
06-15-2021 18:31,-9.88,4505.98,5000.01
06-15-2021 19:31,-9.21,4539.36,5000.01
06-16-2021 09:00,-11.78,4411.04,5000.01
06-16-2021 10:00,-12.25,4387.46,5000.01
06-16-2021 11:00,-11.13,4443.54,5000.01
06-16-2021 12:00,-11.16,4442.15,5000.01
06-16-2021 13:00,-11.27,4436.56,5000.01
06-16-2021 14:00,-11.55,4422.68,5000.01
06-16-2021 15:01,-11.02,4449.25,5000.01
06-16-2021 16:01,-11.82,4409.15,5000.01
